id,datasetKey,species,x,y,accuracy,year,institution,source
4093504313,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.861111,36.484167,210,2004,APSU,gbif
4093504262,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.221389,36.319722,284,1983,APSU,gbif
4093504225,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.799722,36.058611,319,2008,APSU,gbif
4093504055,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-89.196111,35.486111,1250,2005,APSU,gbif
4093503998,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-89.856104,35.608128,405,2006,APSU,gbif
4093503660,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.444167,35.590278,1083,2006,APSU,gbif
4093503554,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.926159,36.532693,10,1980,APSU,gbif
4093503528,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.712778,35.496389,803,2005,APSU,gbif
4093503403,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.991111,36.508333,146,1989,APSU,gbif
4093503002,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.734167,35.620833,1541,2006,APSU,gbif
4093502936,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.812778,35.6275,1962,2006,APSU,gbif
4093502897,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.424444,36.498611,845,1981,APSU,gbif
4093502842,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.228889,35.381944,112,2006,APSU,gbif
4093502692,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.6325,35.311389,20,2005,APSU,gbif
4093502689,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.080278,36.798056,680,1990,APSU,gbif
