id,datasetKey,species,x,y,accuracy,year,institution,source
476570277,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.68732,41.93703,531,2000,MCZ,gbif
476570276,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.68861,41.93722,1500,2000,MCZ,gbif
476570273,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.6875,41.93722,1500,2000,MCZ,gbif
476570174,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.68806,41.93778,1500,2000,MCZ,gbif
476570064,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.17694,41.55028,1500,2003,MCZ,gbif
476569855,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.69667,41.64806,1500,2000,MCZ,gbif
476569758,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.6825,41.63472,1500,2000,MCZ,gbif
476569707,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.52667,41.65111,1500,2000,MCZ,gbif
476569652,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.74111,41.59861,1500,2000,MCZ,gbif
476569648,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.61333,41.63139,1500,2000,MCZ,gbif
476569540,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45056,41.64556,1500,2000,MCZ,gbif
476569427,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.41361,41.68778,1500,2000,MCZ,gbif
476569424,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.41361,41.68778,1500,2001,MCZ,gbif
476568929,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.63083,41.67333,1500,2001,MCZ,gbif
476568927,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.61333,41.67306,1500,2000,MCZ,gbif
476568832,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.52278,41.64722,1500,2000,MCZ,gbif
476568681,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.67667,41.95972,1500,2000,MCZ,gbif
476568437,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.70556,41.90583,1500,2000,MCZ,gbif
476568337,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.60417,41.42667,1500,2000,MCZ,gbif
476568335,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.61944,41.44389,1500,2000,MCZ,gbif
476568329,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.69861,41.92972,1500,2000,MCZ,gbif
476568328,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.46528,41.75583,1500,2001,MCZ,gbif
476568119,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.63667,41.44,1500,2000,MCZ,gbif
476567477,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.5025,41.98694,1500,2001,MCZ,gbif
476567370,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.6175,41.84306,1500,2000,MCZ,gbif
476567262,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.61389,41.84111,1500,2000,MCZ,gbif
476567161,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.60722,41.85222,1500,2000,MCZ,gbif
476567157,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.46889,41.80528,1500,2000,MCZ,gbif
476567050,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.53667,41.99722,1500,2001,MCZ,gbif
476566004,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.58833,41.52556,1500,2000,MCZ,gbif
476565892,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.59,41.52556,1500,2000,MCZ,gbif
476565791,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.64528,41.58556,1500,2000,MCZ,gbif
476565596,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.62278,41.41194,1500,2000,MCZ,gbif
476565594,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.62028,41.41194,1500,2001,MCZ,gbif
